section,group,metric,value
overall,all,rows,70058.0
overall,all,trades,66299.0
overall,all,wins,12809.0
overall,all,losses,14328.0
overall,all,win_rate,0.19320050076170078
overall,all,total_return_pct,-100.0
overall,all,final_bankroll,1e-323
overall,all,max_drawdown_pct,100.0
overall,all,avg_trade_return_pct,-2.882610341209115
quantile,all,pnl_usd_q01,-1.3058770411397582e-10
quantile,all,pnl_usd_q05,-7.951097515731029e-81
quantile,all,pnl_usd_q25,0.0
quantile,all,pnl_usd_q50,0.0
quantile,all,pnl_usd_q75,0.0
quantile,all,pnl_usd_q95,5.0071122980517805e-93
quantile,all,pnl_usd_q99,3.1762053715094594e-12
quantile,all,trade_return_pct_q01,-1.0
quantile,all,trade_return_pct_q05,-1.0
quantile,all,trade_return_pct_q25,0.0
quantile,all,trade_return_pct_q50,0.0
quantile,all,trade_return_pct_q75,0.0
quantile,all,trade_return_pct_q95,0.9692792437967703
quantile,all,trade_return_pct_q99,0.9692792437967704
quantile,all,stake_fraction_pct_q01,1.596705128850668
quantile,all,stake_fraction_pct_q05,3.0302511558288066
quantile,all,stake_fraction_pct_q25,10.368401458280127
quantile,all,stake_fraction_pct_q50,20.0
quantile,all,stake_fraction_pct_q75,20.0
quantile,all,stake_fraction_pct_q95,20.0
quantile,all,stake_fraction_pct_q99,20.0
quantile,all,kelly_raw_fraction_pct_q01,3.193410257701336
quantile,all,kelly_raw_fraction_pct_q05,6.060502311657613
quantile,all,kelly_raw_fraction_pct_q25,20.736802916560254
quantile,all,kelly_raw_fraction_pct_q50,41.76070193238067
quantile,all,kelly_raw_fraction_pct_q75,71.04882687379586
quantile,all,kelly_raw_fraction_pct_q95,97.68098068240658
quantile,all,kelly_raw_fraction_pct_q99,99.92012292572731
by_side,UP,trades,31650.0
by_side,UP,win_rate,0.19617693522906793
by_side,UP,avg_pnl_usd,-0.012640587615900182
by_side,UP,total_pnl_usd,-400.07459804324077
by_side,UP,avg_stake_fraction_pct,14.994904449611923
by_side,DOWN,trades,34649.0
by_side,DOWN,win_rate,0.1904816877831972
by_side,DOWN,avg_pnl_usd,-0.01731436410738433
by_side,DOWN,total_pnl_usd,-599.9254019567596
by_side,DOWN,avg_stake_fraction_pct,15.53487137259105
