section,group,metric,value
overall,all,rows,70058.0
overall,all,trades,3798.0
overall,all,pf_blocked,13726.0
overall,all,wins,1892.0
overall,all,losses,1906.0
overall,all,win_rate,0.49815692469720907
overall,all,total_return_pct,-100.0
overall,all,final_bankroll,4.752841176734354e-18
overall,all,max_drawdown_pct,100.0
overall,all,avg_trade_return_pct,-1.898990804015551
regime,bull,bars,19049.0
regime,bull,episodes,48.0
regime,bear,bars,18144.0
regime,bear,episodes,44.0
regime,neutral,bars,32865.0
regime,neutral,episodes,58.0
quantile,all,pnl_usd_q01,-56.10060248631761
quantile,all,pnl_usd_q05,-0.21026686860270047
quantile,all,pnl_usd_q25,-3.2692466034335624e-09
quantile,all,pnl_usd_q50,-3.1838125157563823e-19
quantile,all,pnl_usd_q75,3.0538603645877306e-09
quantile,all,pnl_usd_q95,0.14486092678463425
quantile,all,pnl_usd_q99,47.2471229735854
quantile,all,trade_return_pct_q01,-1.0
quantile,all,trade_return_pct_q05,-1.0
quantile,all,trade_return_pct_q25,-1.0
quantile,all,trade_return_pct_q50,-1.0
quantile,all,trade_return_pct_q75,0.9692792437967702
quantile,all,trade_return_pct_q95,0.9692792437967704
quantile,all,trade_return_pct_q99,0.9692792437967704
quantile,all,stake_fraction_pct_q01,1.398514005255213
quantile,all,stake_fraction_pct_q05,2.0175505103783764
quantile,all,stake_fraction_pct_q25,5.576919622836155
quantile,all,stake_fraction_pct_q50,11.827373495794594
quantile,all,stake_fraction_pct_q75,20.0
quantile,all,stake_fraction_pct_q95,20.0
quantile,all,stake_fraction_pct_q99,20.0
quantile,all,kelly_raw_fraction_pct_q01,2.797028010510426
quantile,all,kelly_raw_fraction_pct_q05,4.035101020756753
quantile,all,kelly_raw_fraction_pct_q25,11.15383924567231
quantile,all,kelly_raw_fraction_pct_q50,23.65474699158919
quantile,all,kelly_raw_fraction_pct_q75,44.31817532561881
quantile,all,kelly_raw_fraction_pct_q95,77.58771700361036
quantile,all,kelly_raw_fraction_pct_q99,92.04931778201232
by_side,UP,trades,1743.0
by_side,UP,win_rate,0.5169248422260471
by_side,UP,avg_pnl_usd,-0.5186134454991225
by_side,UP,total_pnl_usd,-903.9432355049704
by_side,UP,avg_stake_fraction_pct,11.82078657219175
by_side,DOWN,trades,2055.0
by_side,DOWN,win_rate,0.4822384428223844
by_side,DOWN,avg_pnl_usd,-0.04674295109247187
by_side,DOWN,total_pnl_usd,-96.05676449502968
by_side,DOWN,avg_stake_fraction_pct,12.234379758705538
